industry,client_organization,bookings,last_year,virtual_any
Education & Youth,NBOA,1,2022,False
Education & Youth,SHELTON HIGH,1,2022,True
Education & Youth,Appa,1,2021,True
Education & Youth,Cast,1,2021,False
Education & Youth,Delta College,1,2021,True
Education & Youth,Medquarter,1,2021,True
Education & Youth,Sai,1,2021,False
Education & Youth,REGION 4,1,2020,False
Education & Youth,SCHOOL NUTRITION ASSOC,1,2020,False
Education & Youth,3RC Bootcamp (Ben Nemtin's own speaking bootcamp),1,2019,False
Education & Youth,BBYO Camp Perlman,1,2019,False
Education & Youth,Cal State (California State University),1,2019,False
Education & Youth,FIU Online (Florida International University),1,2019,False
Education & Youth,Indiana Apartment Association,1,2019,False
Education & Youth,TASA (Texas Association of School Administrators),1,2019,False
Entertainment,Entertainment 360,1,2026,False
Executive Networks (YPO etc.),CEO's,1,2023,False
Executive Networks (YPO etc.),EO,1,2023,False
Executive Networks (YPO etc.),HMP GLOBAL,1,2023,False
Executive Networks (YPO etc.),PRIMORIS,1,2023,False
Executive Networks (YPO etc.),GOT,1,2022,False
Executive Networks (YPO etc.),LEADERSHIP ALABAMA,1,2022,False
Executive Networks (YPO etc.),Eo Xcentric,1,2021,False
Executive Networks (YPO etc.),Equitable,1,2021,True
Executive Networks (YPO etc.),Heartland,1,2021,False
Executive Networks (YPO etc.),Nghs,1,2021,False
Executive Networks (YPO etc.),Ypo,1,2021,False
Executive Networks (YPO etc.),XCentric,1,2020,False
Executive Networks (YPO etc.),YPO (Young Presidents Organization) - private dinner,1,2019,False
Financial Services,WELLS FARGO,9,2023,True
Financial Services,CIGNA,6,2022,True
Financial Services,FM GLOBAL,5,2023,False
Financial Services,New York Life Insurance,4,2025,False
Financial Services,Thrivent,4,2021,True
Financial Services,LSEG (London Stock Exchange Group),3,2025,True
Financial Services,FIDELITY,3,2023,True
Financial Services,JOHN HANCOCK,3,2023,True
Financial Services,KINECTA,3,2023,True
Financial Services,SEI,3,2023,False
Financial Services,PACIFIC LIFE,3,2022,False
Financial Services,LINCOLN,3,2020,False
Financial Services,CoBank,2,2026,False
Financial Services,Fidelity Investments,2,2026,False
Financial Services,Janney Montgomery Scott,2,2026,True
Financial Services,The Hanover Insurance Group,2,2026,False
Financial Services,First Financial Resources (FFR),2,2025,False
Financial Services,Canada Life,2,2024,True
Financial Services,LPL Financial,2,2024,False
Financial Services,MetLife,2,2024,True
Financial Services,KANSAS CITY LIFE,2,2023,False
Financial Services,DELOITTE,2,2022,True
Financial Services,KESTRA,2,2022,False
Financial Services,PENN MUTUAL,2,2022,True
Financial Services,TRUSTMARK,2,2022,True
Financial Services,Desjardins,2,2021,False
Financial Services,Sei,2,2021,False
Financial Services,CAPITAL ONE,2,2020,True
Financial Services,NORTHWESTERN,2,2020,True
Financial Services,NORTHWESTERN MUTUAL,2,2020,False
Financial Services,Baystate Financial,1,2026,False
Financial Services,Blue Cross Blue Shield of South Carolina (BCBSSC),1,2026,False
Financial Services,FFR (Financial advisors membership group),1,2026,False
Financial Services,Manulife,1,2026,False
Financial Services,Master Builders of Iowa (MBI),1,2026,False
Financial Services,Paul Davis (Paul Davis Restoration),1,2026,False
Financial Services,Rocket Companies,1,2026,True
Financial Services,The American College of Financial Services,1,2026,False
Financial Services,The Standard (Standard Insurance),1,2026,False
Financial Services,Trellance Cooperative Holdings,1,2026,False
Financial Services,Wealth Enhancement Group,1,2026,True
Financial Services,AICPA (American Institute of CPAs),1,2025,False
Financial Services,AllianceBernstein (Bernstein Private Wealth Management),1,2025,False
Financial Services,Forward Academy (FRWD),1,2025,False
Financial Services,GWN Securities,1,2025,False
Financial Services,Margate Wealth Management,1,2025,True
Financial Services,Million Dollar Round Table (MDRT),1,2025,False
Financial Services,Mutual of Omaha,1,2025,False
Financial Services,National Association of Fraternal Insurance Counselors (NAFIC),1,2025,False
Financial Services,O'Shaughnessy Asset Management (Canvas),1,2025,False
Financial Services,Old Republic Risk Management (ORRM),1,2025,False
Financial Services,Port Huron Town Hall (Merchant Investment Management sponsor),1,2025,False
Financial Services,Prudential Financial,1,2025,False
Financial Services,Robert W. Baird & Co.,1,2025,False
Financial Services,Soltis Investment Advisors,1,2025,False
Financial Services,The Collective Genius,1,2025,False
Financial Services,Voya Financial,1,2025,True
Financial Services,AXIS (AXIS Capital),1,2024,False
Financial Services,American Family Insurance / DreamBank,1,2024,True
Financial Services,Baird,1,2024,False
Financial Services,Bernstein (AllianceBernstein Private Wealth),1,2024,False
Financial Services,CAPTRUST Financial Advisors,1,2024,False
Financial Services,CCC Intelligent Solutions (CCCIS),1,2024,False
Financial Services,Charles Schwab,1,2024,True
Financial Services,Columbia Threadneedle Investments,1,2024,False
Financial Services,Farm Bureau Insurance,1,2024,False
Financial Services,First National Bank of Omaha (FNBO),1,2024,False
Financial Services,First National Bank of Omaha (FNBO) - Technology Organization,1,2024,False
Financial Services,Global Atlantic,1,2024,False
Financial Services,Guardian (Guardian Life),1,2024,False
Financial Services,HUB,1,2024,False
Financial Services,INSURICA,1,2024,False
Financial Services,MassMutual Ascend (Raymond James event),1,2024,False
Financial Services,Merchant Investment Management,1,2024,False
Financial Services,NAIFA (National Association of Insurance and Financial Advisors),1,2024,False
Financial Services,New York Life,1,2024,False
Financial Services,OneDigital,1,2024,False
Financial Services,Open Lending Corporation,1,2024,False
Financial Services,Ownership Works,1,2024,False
Financial Services,Pacific Advisors,1,2024,True
Financial Services,Signature Travel Network,1,2024,True
Financial Services,TIAA,1,2024,False
Financial Services,TRUE Network Advisors,1,2024,True
Financial Services,VRMA (Vacation Rental Management Association),1,2024,False
Financial Services,Vertex Inc.,1,2024,False
Financial Services,Wells Fargo,1,2024,True
Financial Services,Wolters Kluwer,1,2024,False
Financial Services,iA Financial Group,1,2024,False
Financial Services,ADVISORS EXCEL,1,2023,False
Financial Services,AIG,1,2023,False
Financial Services,ALLOYA,1,2023,True
Financial Services,AMERICAN FMI,1,2023,False
Financial Services,BAIRD,1,2023,False
Financial Services,Baird European Strategic Forum,1,2023,False
Financial Services,CANADA LIFE,1,2023,False
Financial Services,COREBRIDGE,1,2023,False
Financial Services,FIDELITY INVESTMENTS,1,2023,True
Financial Services,GULF WINDS CREDIT UNION,1,2023,False
Financial Services,HSBC,1,2023,True
Financial Services,INSURANCE MANAGERS ASSOCIATION,1,2023,False
Financial Services,KPMG,1,2023,False
Financial Services,LPL,1,2023,False
Financial Services,LPL FINANCIAL,1,2023,False
Financial Services,MANULIFE,1,2023,False
Financial Services,NACHA,1,2023,False
Financial Services,NATIONAL INTERSTATE,1,2023,False
Financial Services,NEPC,1,2023,False
Financial Services,OAIC,1,2023,False
Financial Services,ORION,1,2023,False
Financial Services,SANCTUARY WEALTH,1,2023,False
Financial Services,SIGNATURE TRAVEL,1,2023,False
Financial Services,STATE ST,1,2023,False
Financial Services,THRIVENT,1,2023,False
Financial Services,WOLTERS KLUWER,1,2023,False
Financial Services,AASCIF (2),1,2022,False
Financial Services,ABELS FINANCIAL,1,2022,True
Financial Services,AFT,1,2022,False
Financial Services,ALL STATE,1,2022,True
Financial Services,ANTHEM / ELEVANCE,1,2022,False
Financial Services,BAKER TILLY,1,2022,False
Financial Services,BETHESDA FOUNDATION,1,2022,False
Financial Services,BIG I NY,1,2022,False
Financial Services,CAMBRDIGE FINANCIAL,1,2022,False
Financial Services,CREDIT ACCEPTANCE,1,2022,False
Financial Services,DESJARDINS (R2),1,2022,False
Financial Services,EXPRESS EMPLOYMENT,1,2022,True
Financial Services,FEDERAL HOME LOAN BANK,1,2022,False
Financial Services,FIDELITY (FIS),1,2022,False
Financial Services,FIFTH AVE FINANCIAL,1,2022,True
Financial Services,HM INSURANCE (R2),1,2022,False
Financial Services,INVESTOR GROUP,1,2022,False
Financial Services,JOHN HANCOCK PRE,1,2022,False
Financial Services,KANSAS CITY LIFE INSURANCE,1,2022,False
Financial Services,LIBERTY MUTUAL,1,2022,True
Financial Services,LINCOLN FINANCIAL,1,2022,False
Financial Services,LINCOLN PRESIDENT'S CABINET,1,2022,False
Financial Services,MASSMUTUAL,1,2022,False
Financial Services,PGIS/TRUE NETWORK,1,2022,False
Financial Services,RAYMOND JAMES,1,2022,True
Financial Services,SECURIAN,1,2022,False
Financial Services,SEI (R),1,2022,False
Financial Services,SHOPPERS DRUG MART (R),1,2022,False
Financial Services,TAI,1,2022,True
Financial Services,TD,1,2022,True
Financial Services,VISTA EQUITY,1,2022,False
Financial Services,WELLS FARGO ADVISORS,1,2022,True
Financial Services,XERO/INVNT,1,2022,False
Financial Services,Aascif,1,2021,False
Financial Services,Advisor Group,1,2021,False
Financial Services,Af Group,1,2021,False
Financial Services,Aicpa,1,2021,True
Financial Services,Assetmark,1,2021,True
Financial Services,Bank Of America,1,2021,True
Financial Services,Barnum Financial,1,2021,True
Financial Services,Big I Kentucky,1,2021,False
Financial Services,Brightworth,1,2021,True
Financial Services,Buchanan Auto Group,1,2021,False
Financial Services,Cherry Bekhert,1,2021,True
Financial Services,Dmc Network,1,2021,False
Financial Services,Dprcg,1,2021,False
Financial Services,First Horizon Bank,1,2021,False
Financial Services,Hm Insurance Group,1,2021,False
Financial Services,John Hancock,1,2021,True
Financial Services,John Hancock Virtual,1,2021,True
Financial Services,Lincoln,1,2021,False
Financial Services,Lincoln President'S Cabinet,1,2021,False
Financial Services,Navy Federal Credit Union,1,2021,True
Financial Services,Penn Mutual,1,2021,False
Financial Services,Performline,1,2021,True
Financial Services,Protective Life,1,2021,True
Financial Services,Sunlife,1,2021,True
Financial Services,Texas Land Title Association,1,2021,False
Financial Services,Washington Trust,1,2021,True
Financial Services,Wi Credit Union,1,2021,True
Financial Services,Wings Financial,1,2021,True
Financial Services,AASCIF,1,2020,False
Financial Services,ACEC,1,2020,True
Financial Services,AGENCY ONE,1,2020,True
Financial Services,ALLSTATE,1,2020,True
Financial Services,AMERICAN COLLEGE OF FOOT & ANKLE SURGEONS,1,2020,False
Financial Services,AMERITAS,1,2020,True
Financial Services,BANK OF AMERICA,1,2020,False
Financial Services,BEACON,1,2020,True
Financial Services,BLUE CROSS,1,2020,False
Financial Services,BLUE CROSS BLUE SHIELD,1,2020,False
Financial Services,BRIGHTWORTH,1,2020,False
Financial Services,CCUA,1,2020,True
Financial Services,CENTERSTONE,1,2020,False
Financial Services,COX AUTO,1,2020,False
Financial Services,CPCU SOCIETY IN2RISK,1,2020,True
Financial Services,CRISTUS HEALTH,1,2020,False
Financial Services,CSAA,1,2020,False
Financial Services,EQUITABLE LIFE INSURANCE,1,2020,False
Financial Services,FINSECA,1,2020,True
Financial Services,GAINESVILLE,1,2020,True
Financial Services,GARTNERS,1,2020,False
Financial Services,HFMA,1,2020,False
Financial Services,HOME DEPOT,1,2020,False
Financial Services,ICAPITAL NETWORK,1,2020,True
Financial Services,ICUL,1,2020,True
Financial Services,ISLAND WEALTH,1,2020,True
Financial Services,LAMP,1,2020,False
Financial Services,LPL FOCUS,1,2020,False
Financial Services,LRECW,1,2020,False
Financial Services,MAFSI,1,2020,False
Financial Services,MOTHER TO MOTHER,1,2020,False
Financial Services,OHIO REALTORS,1,2020,True
Financial Services,ONE RESOURCE GROUP,1,2020,False
Financial Services,PPAI EXPO,1,2020,False
Financial Services,RB HEALTH,1,2020,True
Financial Services,SMASHFLY,1,2020,True
Financial Services,TIDEWELL,1,2020,False
Financial Services,TRANSFORM (AALU),1,2020,False
Financial Services,UNUM,1,2020,False
Financial Services,VITUITY,1,2020,True
Financial Services,WINSHUTTLE,1,2020,True
Financial Services,America First Credit Union,1,2019,False
Financial Services,Capital One,1,2019,False
Financial Services,Community Bankers of Illinois,1,2019,False
Financial Services,FICP (Financial & Insurance Conference Professionals),1,2019,False
Financial Services,Guardian Life Insurance,1,2019,False
Financial Services,Gunnison Valley Health,1,2019,False
Financial Services,Jack Henry (Symitar),1,2019,False
Financial Services,LOMA (Life Office Management Association),1,2019,False
Financial Services,MDRT (Million Dollar Round Table),1,2019,False
Financial Services,Nationwide,1,2019,False
Financial Services,Principal Financial Group,1,2019,False
Financial Services,The American College,1,2019,False
Government & Public Sector,US PROBATION OFFICE,1,2023,False
Government & Public Sector,CJPIA,1,2022,False
Government & Public Sector,CSFMO,1,2022,False
Government & Public Sector,LEAGUE OF CITIES,1,2022,False
Government & Public Sector,NASHVILLE AGA,1,2022,True
Government & Public Sector,Apwa,1,2021,False
Government & Public Sector,APWA,1,2020,False
Healthcare & Pharma,Sanofi,2,2026,True
Healthcare & Pharma,IU Health,2,2024,True
Healthcare & Pharma,FHA,2,2023,False
Healthcare & Pharma,CHARTWELL,2,2022,True
Healthcare & Pharma,GLOBUS MEDICAL,2,2022,False
Healthcare & Pharma,Bridgeway,2,2021,False
Healthcare & Pharma,Health Connect Partners,2,2019,False
Healthcare & Pharma,Acadia Pharmaceuticals,1,2026,False
Healthcare & Pharma,GSK (GlaxoSmithKline),1,2026,False
Healthcare & Pharma,Senior Star (senior living communities),1,2026,True
Healthcare & Pharma,Alcon,1,2025,False
Healthcare & Pharma,American Pharmacists Association (APhA),1,2025,False
Healthcare & Pharma,Baptist Health South Florida,1,2025,False
Healthcare & Pharma,BioGuard,1,2025,False
Healthcare & Pharma,GPIN (Group Purchasing/Physician Independent Network),1,2025,False
Healthcare & Pharma,Kura Oncology / Kyowa Kirin (Blueprint Medicines),1,2025,False
Healthcare & Pharma,Mirum Pharmaceuticals,1,2025,False
Healthcare & Pharma,National Athletic Trainers' Association (NATA),1,2025,False
Healthcare & Pharma,PERC (Ophthalmology/Optometry Alliance),1,2025,False
Healthcare & Pharma,Serious Business (hair/salon industry event),1,2025,False
Healthcare & Pharma,United Therapeutics,1,2025,False
Healthcare & Pharma,APTA Private Practice (Physical Therapy Section),1,2024,False
Healthcare & Pharma,Abbott Laboratories,1,2024,False
Healthcare & Pharma,Access (DMC event planning company) - 'Envision' internal conference,1,2024,False
Healthcare & Pharma,American Case Management Association (ACMA),1,2024,False
Healthcare & Pharma,BWH Hotels (Best Western Hotels & Resorts),1,2024,False
Healthcare & Pharma,CHG Healthcare,1,2024,True
Healthcare & Pharma,California Association of Health Plans (CAHP),1,2024,False
Healthcare & Pharma,Club Management Association of America (CMAA),1,2024,False
Healthcare & Pharma,Incentive Research Foundation (IRF),1,2024,False
Healthcare & Pharma,Optum / UnitedHealth Group,1,2024,False
Healthcare & Pharma,Pacific Retirement Services,1,2024,False
Healthcare & Pharma,Prime Therapeutics,1,2024,False
Healthcare & Pharma,SCA Health (Surgical Care Affiliates),1,2024,False
Healthcare & Pharma,Schlegel Villages,1,2024,False
Healthcare & Pharma,Schwarzkopf Professional (Henkel Corporation),1,2024,False
Healthcare & Pharma,Sentara Health Plans/Optima Health,1,2024,False
Healthcare & Pharma,Terumo Blood & Cell Technologies,1,2024,False
Healthcare & Pharma,The Child Care Success Company (CCSC),1,2024,False
Healthcare & Pharma,UnitedHealthcare,1,2024,False
Healthcare & Pharma,Voluntary Protection Programs Participants' Association (VPPPA),1,2024,False
Healthcare & Pharma,Zoetis,1,2024,False
Healthcare & Pharma,ACHE,1,2023,False
Healthcare & Pharma,ADM,1,2023,False
Healthcare & Pharma,AMERICAN COLLEGE OF HEALTHCARE,1,2023,False
Healthcare & Pharma,AMTA,1,2023,False
Healthcare & Pharma,BBYO,1,2023,False
Healthcare & Pharma,BCBS ALABAMA (R2),1,2023,False
Healthcare & Pharma,BCBSSC,1,2023,False
Healthcare & Pharma,BE THE MATCH,1,2023,False
Healthcare & Pharma,DTA,1,2023,False
Healthcare & Pharma,ELLIE MENTAL HEALTH,1,2023,False
Healthcare & Pharma,MANAGED HEALTHCARE ASS.,1,2023,False
Healthcare & Pharma,NAHC,1,2023,False
Healthcare & Pharma,NJHA,1,2023,False
Healthcare & Pharma,NORTHERN WESTCHESTER,1,2023,True
Healthcare & Pharma,SURGICAL CARE,1,2023,False
Healthcare & Pharma,VERADIGM,1,2023,False
Healthcare & Pharma,YPO,1,2023,True
Healthcare & Pharma,AAP,1,2022,False
Healthcare & Pharma,AAPD,1,2022,False
Healthcare & Pharma,ABBVIE,1,2022,False
Healthcare & Pharma,AHA (R),1,2022,False
Healthcare & Pharma,AMERICAN NURSES,1,2022,False
Healthcare & Pharma,AMERICAN OSTEOPATHIC,1,2022,False
Healthcare & Pharma,ASPIRUS HEALTHCARE (R2),1,2022,False
Healthcare & Pharma,AUDIENCE COMM/GSK,1,2022,False
Healthcare & Pharma,BAYER,1,2022,True
Healthcare & Pharma,BRIDGEWAY (R2),1,2022,False
Healthcare & Pharma,CISCO/MERAKI,1,2022,True
Healthcare & Pharma,COMMUNITY HEALTH SYSTEMS,1,2022,False
Healthcare & Pharma,CROSS COUNTRY HEALTHCARE,1,2022,False
Healthcare & Pharma,EYE RECOMMEND,1,2022,False
Healthcare & Pharma,FHCA,1,2022,False
Healthcare & Pharma,HAWTHORN SR LIVING,1,2022,False
Healthcare & Pharma,HEALTHSOURCE (R2),1,2022,False
Healthcare & Pharma,HONEYWELL (R),1,2022,False
Healthcare & Pharma,IAHCSMM (NOW HSPA),1,2022,False
Healthcare & Pharma,IFDA,1,2022,False
Healthcare & Pharma,IIDA,1,2022,False
Healthcare & Pharma,IN DEAL CARES,1,2022,False
Healthcare & Pharma,JOHN KNOX,1,2022,True
Healthcare & Pharma,LHA,1,2022,True
Healthcare & Pharma,METRO CONNECTIONS,1,2022,False
Healthcare & Pharma,NABH,1,2022,False
Healthcare & Pharma,OPTUM,1,2022,False
Healthcare & Pharma,RESTORE HYPER,1,2022,False
Healthcare & Pharma,ROCHE,1,2022,True
Healthcare & Pharma,SENOVVA,1,2022,True
Healthcare & Pharma,TRANSITIONS OPTICAL,1,2022,False
Healthcare & Pharma,TRANSITIONS/ADM,1,2022,False
Healthcare & Pharma,VPPPA (R2),1,2022,False
Healthcare & Pharma,Abbot Virtual,1,2021,True
Healthcare & Pharma,Abbott Diabetes,1,2021,True
Healthcare & Pharma,Aha,1,2021,False
Healthcare & Pharma,American Dental Association,1,2021,True
Healthcare & Pharma,Aspirus Healthcare,1,2021,True
Healthcare & Pharma,Aya,1,2021,True
Healthcare & Pharma,Aya Aa Kickoff,1,2021,True
Healthcare & Pharma,Bcbs Alabama,1,2021,False
Healthcare & Pharma,Bcbssc,1,2021,True
Healthcare & Pharma,Bd,1,2021,True
Healthcare & Pharma,Bryan Health,1,2021,True
Healthcare & Pharma,Cardinal Health,1,2021,True
Healthcare & Pharma,Cigna,1,2021,True
Healthcare & Pharma,Cihi,1,2021,True
Healthcare & Pharma,Dsoa,1,2021,True
Healthcare & Pharma,Endo Pharma,1,2021,False
Healthcare & Pharma,Esc 4,1,2021,True
Healthcare & Pharma,Florida Ha,1,2021,False
Healthcare & Pharma,Floyd Lee Locums,1,2021,False
Healthcare & Pharma,Healthsource,1,2021,False
Healthcare & Pharma,Hmhs,1,2021,False
Healthcare & Pharma,John Knox,1,2021,False
Healthcare & Pharma,Leading Age Ca,1,2021,True
Healthcare & Pharma,Leading Age Fl,1,2021,False
Healthcare & Pharma,Louisiana Hospital Association,1,2021,False
Healthcare & Pharma,Medirevv,1,2021,True
Healthcare & Pharma,Naccme,1,2021,True
Healthcare & Pharma,Nd Behavioral Health,1,2021,False
Healthcare & Pharma,Nghs,1,2021,False
Healthcare & Pharma,Rb Health,1,2021,True
Healthcare & Pharma,Sodexo,1,2021,True
Healthcare & Pharma,Sunrise Dental,1,2021,False
Healthcare & Pharma,AHA,1,2020,False
Healthcare & Pharma,ASPIRUS HEALTHCARE,1,2020,False
Healthcare & Pharma,ASSOC OF AIR MEDICAL SERVICES,1,2020,True
Healthcare & Pharma,ASTA,1,2020,True
Healthcare & Pharma,AUTODESK,1,2020,False
Healthcare & Pharma,BRIDGEWAY,1,2020,False
Healthcare & Pharma,CHEM,1,2020,False
Healthcare & Pharma,FLORIDA HA,1,2020,False
Healthcare & Pharma,HEALTHSOURCE,1,2020,False
Healthcare & Pharma,HMHS,1,2020,False
Healthcare & Pharma,IREM,1,2020,True
Healthcare & Pharma,LAP OF LOVE,1,2020,False
Healthcare & Pharma,LAURA BUSH INSTITUTE FOR WOMEN'S HEALTH,1,2020,False
Healthcare & Pharma,LOUISIANA HOSPITAL ASSOC,1,2020,False
Healthcare & Pharma,NOOM,1,2020,True
Healthcare & Pharma,NPMA,1,2020,True
Healthcare & Pharma,SCPRT,1,2020,False
Healthcare & Pharma,SUNRISE DENTAL,1,2020,False
Healthcare & Pharma,TCASE,1,2020,False
Healthcare & Pharma,VIEWPOINT,1,2020,False
Healthcare & Pharma,VISIT DETROIT,1,2020,False
Healthcare & Pharma,ASDA (American Student Dental Association),1,2019,False
Healthcare & Pharma,Arkansas Hospital Association,1,2019,False
Healthcare & Pharma,Aya Healthcare,1,2019,False
Healthcare & Pharma,Beacon Health System,1,2019,False
Healthcare & Pharma,Cedars-Sinai,1,2019,False
Healthcare & Pharma,Emory (Nemtin International Training),1,2019,False
Healthcare & Pharma,Iowa Primary Care Association,1,2019,False
Healthcare & Pharma,Maryland Healthcare Education Institute,1,2019,False
Healthcare & Pharma,Parkview Health,1,2019,False
Healthcare & Pharma,PennWell (Endeavor),1,2019,False
Healthcare & Pharma,Texas Healthcare Trustees,1,2019,False
Healthcare & Pharma,Vizient,1,2019,False
Hospitality & Events,Runningman (endurance/obstacle event),1,2025,False
Hospitality & Events,World Micro,1,2024,False
Hospitality & Events,DELTA VACA,1,2023,False
Hospitality & Events,EURONET,1,2023,False
Hospitality & Events,INTERNATIONAL SPA,1,2023,False
Hospitality & Events,FREEMAN,1,2022,False
Hospitality & Events,GDA LIVE,1,2022,False
Hospitality & Events,SCI,1,2022,True
Hospitality & Events,T-MOBILE L.E.A.D.,1,2022,True
Hospitality & Events,Alhi,1,2021,False
Hospitality & Events,Deloitte,1,2021,True
Hospitality & Events,Keller Williams,1,2021,True
Hospitality & Events,Lifespace,1,2021,True
Hospitality & Events,MPI WEC,1,2020,False
Hospitality & Events,PCMA,1,2020,False
Hospitality & Events,Smart Meetings,1,2019,False
Industrial & Energy,Caterpillar (CAT),1,2026,False
Industrial & Energy,Event Connections / Renewal by Andersen (RbA),1,2026,False
Industrial & Energy,Hayward Industries,1,2026,False
Industrial & Energy,Southeastern Electric Exchange (SEE),1,2026,False
Industrial & Energy,Tennessee Valley Authority (TVA),1,2026,False
Industrial & Energy,Mueller Water Products,1,2025,False
Industrial & Energy,Cheniere Energy (LNG),1,2024,False
Industrial & Energy,Constellation Energy,1,2024,False
Industrial & Energy,TransAlta Corporation,1,2024,False
Industrial & Energy,thINK Forum (Canon),1,2024,False
Industrial & Energy,SUPPORTWORKS,1,2023,False
Industrial & Energy,GULF POWER,1,2022,False
Industrial & Energy,ICA (R),1,2022,True
Industrial & Energy,MSCA,1,2022,False
Industrial & Energy,RAYTHEON,1,2022,True
Industrial & Energy,STARNET WORLDWIDE (R),1,2022,False
Industrial & Energy,3M,1,2021,True
Industrial & Energy,Monster Energy,1,2021,True
Industrial & Energy,Siemens,1,2021,False
Industrial & Energy,Wheels Inc,1,2021,True
Industrial & Energy,ASSOC. OF THE WALL & CEILING IND.,1,2020,False
