client_organization,industry,sub_industry,confidence
John Hancock,Financial Services,Insurance / investments,high
AOA,Education & Youth,University auxiliary organizations,medium
NASHVILLE AGA,Government & Public Sector,Government accountants association,medium
SENOVVA,Healthcare & Pharma,Pharma (Amgen Canada meeting),high
COACHHUB VIRTUAL,Technology,HR tech / coaching platform,medium
COACH HUB VIRTUAL 2,Technology,HR tech / coaching platform,medium
ACI,Associations & Nonprofits,Industry association,low
UMEC,Needs review,,low
NTCA,Associations & Nonprofits,Rural broadband association,high
CSFMO,Government & Public Sector,Municipal finance officers,high
PINK ELEPHANT (R),Technology,IT service management conference,high
TRIPLESEAT,Technology,Event management software,high
AHA (R),Healthcare & Pharma,Hospital association,medium
GULF POWER,Industrial & Energy,Utility,high
IJO,Retail & Consumer,Independent jewelers,high
WORLDVIEW PANEL SXSW,Media & Agencies,Conference panel (SXSW),medium
ABC,Associations & Nonprofits,Builders and contractors association,medium
ADVANCED,Technology,Business software (UK),high
NAR,Real Estate,Realtors association,high
AWCI (R2),Associations & Nonprofits,Construction trade association,high
GOT,Executive Networks (YPO etc.),Entrepreneur network (Gathering of Titans),high
AAP,Healthcare & Pharma,Medical association,low
SCRA (R),Associations & Nonprofits,Industrial trade association (crane & rigging),high
AUDIENCE COMM/GSK,Healthcare & Pharma,Pharma (GSK),high
XERO,Technology,Accounting software,high
AAPD,Healthcare & Pharma,Pediatric dentistry association,high
REALSCREEN/BRUNICO,Media & Agencies,Media conference,high
ERIN'S HOUSE,Associations & Nonprofits,Community nonprofit,high
METRO CONNECTIONS,Healthcare & Pharma,Dental / vet supply (Patterson NASM),medium
CASAMATA,Needs review,,low
AYALA LAND,Real Estate,Property developer,high
ACAM,Needs review,,low
LEAGUE OF CITIES,Government & Public Sector,Municipal league,high
FREEMAN,Hospitality & Events,Event production,high
RESTORE HYPER,Healthcare & Pharma,Wellness franchise,medium
FLORIDA HR,Associations & Nonprofits,HR association,high
HAWTHORN SR LIVING,Healthcare & Pharma,Senior living,high
BRIDGEWAY (R2),Healthcare & Pharma,Behavioral health nonprofit,medium
AFT,Financial Services,Fintech conference,medium
EYE RECOMMEND,Healthcare & Pharma,Optometry network,high
CJPIA,Government & Public Sector,Public entity insurance pool,high
MILLIMAN,Professional Services,Actuarial consulting,high
AMERICAN OSTEOPATHIC,Healthcare & Pharma,Medical association,high
MIGHTY DREAM PHARELL,Media & Agencies,Forum / entertainment,medium
MCDERMOTT,Professional Services,Law firm,high
ISACA,Associations & Nonprofits,IT governance association,high
RAYTHEON,Industrial & Energy,Aerospace & defense,high
JOHN KNOX,Healthcare & Pharma,Senior living,high
LearnWell VIRTUAL,Education & Youth,Education services,medium
PACKAGING DISTRIBUTORS PDA,Associations & Nonprofits,Packaging distributors association,high
ALLOYA,Financial Services,Corporate credit union,high
GOT JUNK,Retail & Consumer,Home services franchise,high
KELLOGG,Retail & Consumer,Consumer goods,high
ADM,Healthcare & Pharma,Pharma (Bausch/Salix NSM),high
HSBC,Financial Services,Bank,high
CATULPA,Associations & Nonprofits,Community support services,high
COREBRIDGE,Financial Services,Retirement / insurance,high
REPLICATED,Technology,Software,high
Winesense,Retail & Consumer,Wine,low
FM GLOBAL,Financial Services,Commercial insurance,high
THRIVENT,Financial Services,Financial services / insurance,high
WELLS FARGO,Financial Services,Bank,high
SUPPORTWORKS,Industrial & Energy,Construction / foundation repair network,medium
NACHA,Financial Services,Payments association,high
ZEIGLER AUTO,Retail & Consumer,Auto dealer group,high
BCBSSC,Healthcare & Pharma,Health insurance,high
COWBOYS,Sports & Entertainment,Pro sports team,high
OAIC,Financial Services,Insurance,high
SERVICENOW,Technology,Enterprise software,high
PDA,Associations & Nonprofits,Packaging distributors association,high
PFIFC,Needs review,,low
BGCA,Education & Youth,Youth nonprofit,high
BLP,Needs review,,low
EYCA,Needs review,,low
EO,Executive Networks (YPO etc.),Entrepreneurs' Organization,high
US PROBATION OFFICE,Government & Public Sector,Federal agency,high
NATIONAL INTERSTATE,Financial Services,Insurance,high
CONCEPT ARTS,Media & Agencies,Creative agency,medium
KINECTA,Financial Services,Credit union,high
DOUGLAS ELLIMAN,Real Estate,Brokerage,high
ORANGE THEORY,Retail & Consumer,Fitness franchise,high
CEO's,Executive Networks (YPO etc.),CEO group,low
ECIA,Associations & Nonprofits,Electronics industry association,high
MIKE ALLES,Needs review,,low
BE THE MATCH,Healthcare & Pharma,Health nonprofit,high
ACCESSLEX,Education & Youth,Higher-ed finance nonprofit,high
AcessLex,Education & Youth,Higher-ed finance nonprofit,high
AMERICAN FMI,Financial Services,Insurance,high
SCOTTSDALE,Needs review,,low
AMS Properties,Real Estate,Property management,medium
HUB,Financial Services,Insurance brokerage,high
