Template ID,Name,Stage,Lane,Deal Type,Trigger,Send Mode,Sender,Register,Subject,Body,Variables,Notes,Active
E13,Questionnaire chase,Pre-Event,Direct,Keynote,T-14 and questionnaire not returned,DRAFT,Ben,Friendly,Quick Nudge,"Hi {{first_name}},

Gentle nudge on the questionnaire for {{event_date}}: {{questionnaire_url}}. Even rough answers help. I'd rather have them early than perfect.

Thanks,
Ben","event_date, first_name, questionnaire_url",,TRUE
E14,Debrief scheduling,Pre-Event,Direct,Keynote,Kick-off call held,DRAFT,Ben,Friendly,Debrief,"Great call today, thanks {{first_name}}.

Let's put the debrief on the calendar now so it's one less thing later. Two weeks after the event, {{debrief_slot}}?

Liezel will send the invite.

Thanks,
Ben","debrief_slot, first_name","Booked at kick-off, never chased afterwards. Bureau lane: only with agent buy-in, agent cc'd.",TRUE
E15,Journal promo address,Pre-Event,Direct,Keynote,Ben mentions the journal on the kick-off call (line item added at Mentioned),DRAFT,Liezel,Friendly,Journal,"Hi {{first_name}},

Ben mentioned the journal on your call. I'd love to send you a copy so you can see it in person. What's the best address to ship to?

Thanks,
Liezel",first_name,Fulfillment record moves to Promo Sent when it ships.,TRUE
E15b,Journal follow-up,Pre-Event,Direct,Keynote,7 days after promo shipped,DRAFT,Ben,Friendly,Journal,"Hi {{first_name}},

Did the journal make it to you? If you think it'd be a good fit for the room on {{event_date}}, let me know roughly how many and Liezel can put together pricing.

Bulk orders take a couple of weeks from the warehouse so earlier is easier.

Thanks,
Ben","event_date, first_name",Timer nudges internally at T-45 and T-35 if no order. Pricing tiers live in Products.,TRUE
E16,Field guide brief (internal),Pre-Event,Any,Keynote,T-1 or Ben presses the button,AUTO,Louis,System,Field Guide {{deal_name}},"{{event_name}} in {{event_city}} on {{event_date}}.

AV check {{av_check_time}} {{event_timezone}}. Stage time {{stage_time}}. Duration {{duration}}.
Venue {{venue_name}}, {{venue_address}}, {{ballroom}}.
Hotel {{hotel_name}}, conf {{hotel_confirmation}}. Ground {{ground_transport}}.
Onsite contact {{onsite_name}} {{onsite_phone}}.
Audience {{audience_overview}}. Theme {{event_theme}}. Focus {{focus_areas}}.
Journal order {{journal_qty}} ({{fulfillment_status}}).
Notes {{client_team_notes}}.","audience_overview, av_check_time, ballroom, client_team_notes, deal_name, duration, event_city, event_date, event_name, event_theme, event_timezone, focus_areas, fulfillment_status, ground_transport, hotel_confirmation, hotel_name, journal_qty, onsite_name, onsite_phone, stage_time, venue_address, venue_name","Internal, plain, Ben's chosen fields only. Already built.",TRUE
E17,Post-keynote alert (internal),Delivered,Any,Keynote,Ben ticks Send Post-Keynote Alert,AUTO,Louis,System,Post-Keynote {{deal_name}},"Ben's post-keynote notes for {{deal_name}}:

{{post_keynote_notes}}

Deal: {{deal_url}}","deal_name, deal_url, post_keynote_notes",One-click handoff to Liezel. Ben types once.,TRUE
E18,"Thank you, deck, testimonial",Delivered,Direct,Keynote,Event date passed (next day),DRAFT,Ben,Friendly,Thank You,"Hi {{first_name}},

It was an honor to speak to {{company}} {{day_word}} in {{event_city}}. {{specific_detail}}

Here's the deck for the team: {{deck_url}}.

One small ask. If you've got two lines on how it landed, I'd love to use them as a testimonial.

Thanks 100x for having me.
Ben","company, day_word, deck_url, event_city, first_name, specific_detail","specific_detail comes from Ben's post-keynote notes (their moment, not his content). Bureau lane: agent cc'd, no testimonial ask unless agent agrees.",TRUE
E19,QR follow-up,Delivered,Any,Keynote,Audience member ticks interest and completes the qualifier drop-down,DRAFT,Ben,Friendly,Great Meeting You,"Hi {{first_name}},

Thank you again for attending my keynote {{day_word}} in {{event_city}}!

I saw that you checked the box expressing interest in having me speak at an upcoming event, so I wanted to reach out.

I'm curious, do you already have an event date or audience in mind?

Happy to jump on a quick exploratory call and share a few ways I've partnered with {{their_industry}} groups to create energizing experiences.

Safe travels home!
Ben","day_word, event_city, first_name, their_industry","Model email from Ben's sent mail. Only fires for qualified clicks (drop-down completed). Creates a new Inquiry deal, Source = Audience Capture.",TRUE
E20,Next year,Debriefed,Direct,Keynote,Debrief held and repeat flagged,DRAFT,Ben,Friendly,Next Year,"Hi {{first_name}},

Thanks again for {{event_name}}. I've been thinking about next year. If we spoke to your leaders this time, what about the managers or the wider team?

Happy to sketch a couple of options if that's useful.

Hope all is well in your world.
Ben","event_name, first_name",A yes creates a new standalone deal linked to the same company.,TRUE
E21,"Re-engagement, timing or budget",Closed Lost,Direct,Keynote,"12 months after Closed Lost with reason Dates, Budget, Unresponsive, or Event cancelled",DRAFT,Ben,Formal,Your Event,"Hi {{first_name}},

We talked about {{event_name}} last {{year}} and the timing didn't line up. I've got {{month}} opening up and thought of you.

{{social_proof_line}}

Do you have anything on the calendar for {{next_year}}?

Best,
Ben","event_name, first_name, month, next_year, social_proof_line, year","Segmented by Closed Lost Reason and industry. social_proof_line is one sentence, same industry if possible.",TRUE
E21b,"Re-engagement, hired another speaker",Closed Lost,Direct,Keynote,12 months after Closed Lost with reason Hired another speaker or Referred,DRAFT,Ben,Formal,Next Event,"Hi {{first_name}},

Hope {{event_name}} went great last {{year}}. If you're already planning {{next_year}}, I'd love to be in the mix.

Recent reel: {{reel_url}}.

Any dates in mind?

Best,
Ben","event_name, first_name, next_year, reel_url, year",,TRUE
E22,Coaching intake reply,Inquiry,Direct,Coaching,Form or email inquiry with Deal Type Speaker or Executive Coaching,DRAFT,Ben,Friendly,Coaching,"Hi {{first_name}},

Thanks for reaching out about coaching. It's three sessions a few weeks apart and we go deep on your talk, your business, or both.

Are you free this week for a short call to see if it's a fit? {{slot_1}} or {{slot_2}} PT?

Thanks,
Ben","first_name, slot_1, slot_2",Coaching automations are later phase. Templates ship now so the drafts engine can use them when wired.,TRUE
E22b,Coaching diagnostic offer,Closed Lost,Direct,Coaching,Coaching deal Closed Lost with reason Insufficient budget,DRAFT,Ben,Friendly,One Session,"Hi {{first_name}},

Totally understand the full program's a lot right now. If it helps, I do a single diagnostic session where we tear down your talk and map the next steps.

Want me to send details?

Ben",first_name,"Diagnostic session price is a Products value, not in the copy.",TRUE
E22c,Coaching session follow-up,Pre-Event,Direct,Coaching,Coaching session held (Fathom recording available),DRAFT,Ben,Casual,Session Notes,"Hey {{first_name}},

Great session today. Recording and notes are here: {{fathom_url}}.

Homework before next time: {{homework}}.

See you {{next_session_date}}.
Ben","fathom_url, first_name, homework, next_session_date",Ben's clearest small win to automate. Later phase.,TRUE
E22d,Next track,Pre-Event,Direct,Coaching,Session 3 booked,DRAFT,Ben,Casual,What's Next,"Hey {{first_name}},

Session three's on the books for {{session_3_date}}. Before we wrap, want to talk about what's next? A few people roll straight into {{next_track}}.

Happy to lay it out on the call.
Ben","first_name, next_track, session_3_date",So Ben doesn't sell in-session.,TRUE
E23,Daily next-action digest (internal),Any,Any,Any,"Daily 7:00 PT, per Next Action Owner, muted excluded",AUTO,Louis,System,Louis Digest {{date}},"{{owner_first}}, {{count}} deals need a next action today.

{{deal_list_with_next_action_and_days_overdue}}

Open date conflicts: {{conflict_count}}.
Review queue: {{queue_count}} items.

{{app_url}}","app_url, conflict_count, count, date, deal_list_with_next_action_and_days_overdue, owner_first, queue_count",Staleness engine. Excludes Muted. Clears on Closed Won or Lost.,TRUE
E24,Worker failure (internal),Any,Any,Any,"Any worker non-zero exit, extraction error, mirror error, or usage cap hit",AUTO,Louis,System,Louis Failure {{worker_name}},"{{worker_name}} failed at {{timestamp}}.

{{error_summary}}

Log tail:
{{log_tail}}

Job queued for retry: {{retry_status}}.","error_summary, log_tail, retry_status, timestamp, worker_name",Never batched. Goes to admin immediately.,TRUE
