Testimonial ID,Quote,Name,Title,Company,Industry,Format,Category,Source URL,Active,Short Version
T018,Ben was the very first presenter in our 10+ year event history to receive a perfect score from EVERY attendee!,Kelsey Keller,Sr. Director of Marketing,Modere,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben was the very first presenter in our 10+ year event history to receive a perfect score from EVERY attendee!
T019,"Everything went amazing with Ben! The viewers absolutely loved him, and he did a fantastic job on his keynote.",,,Rocket Money,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"Everything went amazing with Ben! The viewers absolutely loved him, and he did a fantastic job on his keynote."
T020,Your words resonated deeply and your lessons about reaching one's full potential were truly impactful. Your story served as a reminder to never settle and to pursue our dreams relentlessly.,Jami Thomas,VP Sales,Zillow,Real Estate,,client,https://www.bennemtin.com/testimonials/,TRUE,Your words resonated deeply and your lessons about reaching one's full potential were truly impactful. Your story served as a reminder to never settle and to pursue our dreams...
T021,"A profoundly impactful keynote that energized the conference, encouraged big thinking, and left a lasting emotional impression.",,,Boston Pizza,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"A profoundly impactful keynote that energized the conference, encouraged big thinking, and left a lasting emotional impression."
T022,"Six years ago, Ben delivered a powerful message to our leaders that changed everything. His inspiring words led us to start granting bucket list dreams throughout our organization. We now consider this bucket list program a cornerstone tradition at NGHS.",Melissa Tymchuk,Chief of Staff and Strategy Officer,Northeast Georgia Health System,Healthcare & Pharma,,client,https://www.bennemtin.com/testimonials/,TRUE,"Six years ago, Ben delivered a powerful message to our leaders that changed everything. His inspiring words led us to start granting bucket list dreams throughout our..."
T023,"Ben's virtual keynote was extremely engaging and hit the perfect tone. He combined humor and storytelling to deliver an inspirational message that truly resonated with our staff! In a virtual setting, it can be hard to maintain people's attention, but the reviews from our staff were unanimous.",Greg Higgins,SVP & General Counsel,Wings Financial Credit Union,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's virtual keynote was extremely engaging and hit the perfect tone. He combined humor and storytelling to deliver an inspirational message that truly resonated with our...
T024,"We brought Ben in to speak at our client conference, and after his keynote, one of our most important new clients came up to me with tears in her eyes. That moment changed everything. It created a level of trust and connection that went far beyond business. Six years later, they are still one of our greatest clients.",Justin Frye,,Fidelity,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"We brought Ben in to speak at our client conference, and after his keynote, one of our most important new clients came up to me with tears in her eyes. That moment changed..."
T025,"Ben's message resonated so perfectly with our 4000 team members. His ability to inject both humor and emotion kept our team keenly engaged as he inspired our team to think big and live a life that matters. He tied together his story alongside our 2024 theme, as well as our corporate values, in a way that made this keynote a highlight of the conference.",Adam Bruckman,President & CEO,OneDigital,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's message resonated so perfectly with our 4000 team members. His ability to inject both humor and emotion kept our team keenly engaged as he inspired our team to think big...
T026,"Due to COVID-19, our organization had to pivot to holding our first ever virtual conference with only a few months to prepare. Ben and his team made it easy. They went above and beyond to get to know our audience and goals as well as making sure we were comfortable with the virtual format.",Jessica Gaudio,Senior Director of Membership,The Institutes CPCU Society,Associations & Nonprofits,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"Due to COVID-19, our organization had to pivot to holding our first ever virtual conference with only a few months to prepare. Ben and his team made it easy. They went above..."
T027,I have run many conferences over the years and one challenge is the last speaker. It is extremely hard to finish with a lift at the end. Ben was by far the best I have ever seen. Well done!,David McDonald,"Group Senior Vice President, Member Networks",Vizient,Healthcare & Pharma,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,I have run many conferences over the years and one challenge is the last speaker. It is extremely hard to finish with a lift at the end. Ben was by far the best I have ever...
T028,Ben's talk was both motivational and impactful for my organization.,Andy Anisfeld,Vice President,AbbVie US Medical Affairs,Healthcare & Pharma,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's talk was both motivational and impactful for my organization.
T029,Perfect alignment with our values. Authentic and inspiring!,Robert Cameron,VP of Global Marketing,Levi's,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,Perfect alignment with our values. Authentic and inspiring!
T030,Ben's message of radical possibility motivated our entire team to rethink how we approach both personal and professional growth. His captivating story energized everyone to take action and turn inspiration into impact.,Greg Bottorff,"SVP, Sales, Marketing, Training, & Analytics",United Therapeutics,Healthcare & Pharma,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's message of radical possibility motivated our entire team to rethink how we approach both personal and professional growth. His captivating story energized everyone to...
T031,"Five years ago, I heard Ben speak and his words sparked a profound shift in my perspective. Five years later, when I needed to ignite inspiration in my top 60 North American leaders, Ben was the only choice.",Philipp Schaffer,Senior VP,"Henkel Consumer Brands, North America",Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Five years ago, I heard Ben speak and his words sparked a profound shift in my perspective. Five years later, when I needed to ignite inspiration in my top 60 North American..."
T032,What a powerful session Ben! Really thankful for the thoughtful preparation and the great delivery; it landed VERY WELL considering people were raving about the talk throughout the event!,Martin Putallaz,Manager,Google Customer Solutions,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,What a powerful session Ben! Really thankful for the thoughtful preparation and the great delivery; it landed VERY WELL considering people were raving about the talk throughout...
T033,"Ben's keynote truly resonated with our audience, as it connects to both our personal and professional lives. Thank you Ben for getting to know us and being genuine. It was noticed, appreciated and will be remembered!",John Myers,"President, CEO",Rentokil,Professional Services,,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's keynote truly resonated with our audience, as it connects to both our personal and professional lives. Thank you Ben for getting to know us and being genuine. It was..."
T034,Ben was hands down the best keynote speaker I have worked with. He absolutely nailed it and made a lasting impression on attendees. I would work with Ben again in a heartbeat.,Mary Lee,VP of Marketing,Winshuttle,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben was hands down the best keynote speaker I have worked with. He absolutely nailed it and made a lasting impression on attendees. I would work with Ben again in a heartbeat.
T035,Ben inspired and empowered our financial advisors to move beyond money and discuss life goals with their investor clients. He is an incredible presenter with an awe-inspiring story! Total home run.,Michelle Schrage,Director,Orion,Financial Services,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben inspired and empowered our financial advisors to move beyond money and discuss life goals with their investor clients. He is an incredible presenter with an awe-inspiring...
T036,"We hired Ben as our keynote speaker for our virtual national sales conference and received rave reviews. His message was inspirational and highly engaging, but it also included practical steps our team members could take right away to make their impossibles possible.",Matt Riebel,SVP,Protective Insurance Company,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"We hired Ben as our keynote speaker for our virtual national sales conference and received rave reviews. His message was inspirational and highly engaging, but it also included..."
T037,Ben's storytelling and ability to connect with our audience was apparent from the minute he greeted our participants. The message was perfectly aligned with our theme and I had so many attendees say it was the best event to date.,Laurie Cummins,HR Strategic Advisor,FedEx,Industrial & Energy,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's storytelling and ability to connect with our audience was apparent from the minute he greeted our participants. The message was perfectly aligned with our theme and I had...
T038,"You were a huge hit. We've been getting rave reviews from attendees, and several people have said you were the best speaker we've had in years!",Sara Heller,Senior Strategy Consultant,Caterpillar,Industrial & Energy,,client,https://www.bennemtin.com/testimonials/,TRUE,"You were a huge hit. We've been getting rave reviews from attendees, and several people have said you were the best speaker we've had in years!"
T039,"Having Ben as a guest speaker at Headspace was nothing short of sublime. Not only is his own story an incredible inspiration, he also stands for creating the culture where others can inhabit a life they love.",Brydon Gerus,Creative Director,Headspace,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,"Having Ben as a guest speaker at Headspace was nothing short of sublime. Not only is his own story an incredible inspiration, he also stands for creating the culture where..."
T040,"Ben's work is as personal as it is universal. The underlying message he has imparted onto our people is to curate a life of mental wellness, and that self-care and care for others are indivisible. His is a message of heart and humanity.",Juma Wood,Leadership Development,Lululemon,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's work is as personal as it is universal. The underlying message he has imparted onto our people is to curate a life of mental wellness, and that self-care and care for..."
T041,"Ben clearly (and amusingly) articulates the importance of self-care, not only for you, but for those around you. Ben's talk was a huge success and many employees saw themselves depicted in what he had to say. We are hugely grateful to Ben for giving us the insight and the tools to help us all live fuller lives.",James Galloway,Executive Vice President,FM Global,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben clearly (and amusingly) articulates the importance of self-care, not only for you, but for those around you. Ben's talk was a huge success and many employees saw themselves..."
T042,"Ben's message continues to be a part of our culture here at Lincoln. Our associates left his keynote inspired and took action towards their goals. Before long, our associates were helping each other achieve their dreams and this naturally created a peer encouragement sub-culture. Ben's presentation is more than a keynote, it is a culture shifting experience.",Garry Spence,Senior Vice President,Lincoln Financial Group,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's message continues to be a part of our culture here at Lincoln. Our associates left his keynote inspired and took action towards their goals. Before long, our associates..."
T043,"Ben's transformational keynote energized our team to move towards more productive, satisfying lives by committing to something greater than ourselves. Ben inspired a culture of service where we support each other, both inside and outside the office. This was a catalyst moment for our newly promoted senior managers.",Jen Fisher,US Chief Wellbeing Officer,Deloitte,Professional Services,,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's transformational keynote energized our team to move towards more productive, satisfying lives by committing to something greater than ourselves. Ben inspired a culture of..."
T044,"We worked with Ben on our first-ever partner community virtual event. Ben navigated this new virtual world with us, adapting his live presentation to a webinar format that had everyone engaged until the very end. We would highly recommend him as a virtual keynote.",Meredith Bunker,Director of Partner Marketing,LogMeIn,Technology,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"We worked with Ben on our first-ever partner community virtual event. Ben navigated this new virtual world with us, adapting his live presentation to a webinar format that had..."
T045,"In my 38 year career, I have never hired the same speaker twice, until Ben. He's spoken at critical internal and external events three times. He inspired me to pursue my improbable dream of songwriting in Nashville, which last October came true.",Gene Rapisardi,Market President,Cigna,Healthcare & Pharma,,client,https://www.bennemtin.com/testimonials/,TRUE,"In my 38 year career, I have never hired the same speaker twice, until Ben. He's spoken at critical internal and external events three times. He inspired me to pursue my..."
T046,"I laughed, and I cried. I think it was important for Harvard students especially to experience this. This is a message that we could all embrace and learn from!",Tracey-Ann Daley,Director of Student Life,Harvard,Education & Youth,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"I laughed, and I cried. I think it was important for Harvard students especially to experience this. This is a message that we could all embrace and learn from!"
T047,Ben was a pleasure to work with and extremely professional when it came to his preparation and tweaking his presentations to fit the audiences. We're still receiving rave reviews from his presentations.,Jeremy Park,CEO,cityCURRENT,Associations & Nonprofits,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben was a pleasure to work with and extremely professional when it came to his preparation and tweaking his presentations to fit the audiences. We're still receiving rave...
T048,"Ben truly demonstrates what it means to never take no for an answer when it comes to living out your dreams and helping others do the same. It's more than an inspirational talk, it's a call to action.",Julie Ball,North American Leadership Development Manager,Lululemon,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben truly demonstrates what it means to never take no for an answer when it comes to living out your dreams and helping others do the same. It's more than an inspirational...
T049,Ben personally brought me to my knees with emotion when he spoke about the journey of life and going for what we all feel is truly important.,Eric Stein,Senior Athletics Director,Stanford,Education & Youth,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben personally brought me to my knees with emotion when he spoke about the journey of life and going for what we all feel is truly important.
T050,"I see literally hundreds of speakers a year, and Ben's was such an easy-going but incredibly compelling story and style. Ben will go down as one of my favorites of all times!",Debbie Wood,"GM, Marketing & Industry Research",Jack Henry & Associates,Financial Services,,client,https://www.bennemtin.com/testimonials/,TRUE,"I see literally hundreds of speakers a year, and Ben's was such an easy-going but incredibly compelling story and style. Ben will go down as one of my favorites of all times!"
T051,The feedback has been nothing but positive. Ben's content had a big impact on our ability to set a new record amount of donations to our College Scholarship Fund!,John Kairys,EVP & General Manager,Big O Tires,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,The feedback has been nothing but positive. Ben's content had a big impact on our ability to set a new record amount of donations to our College Scholarship Fund!
T052,It was a magic moment in a magic week. Ben's presentation touched the hearts and souls of all participants and will be remembered as a highlight of a great week together. We are all working on our bucket list now.,Peter Deriemaeker,Chief of Sales,Puratos,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,It was a magic moment in a magic week. Ben's presentation touched the hearts and souls of all participants and will be remembered as a highlight of a great week together. We...
T053,Ben took the time to understand our company and culture. He even arrived the day before and utilized his observations to further customize his remarks for Camden. Many said Ben was the best speaker they had ever seen.,Keith Oden,President,Camden Property Trust,Real Estate,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben took the time to understand our company and culture. He even arrived the day before and utilized his observations to further customize his remarks for Camden. Many said Ben...
T054,"In my 29 years at MHA, I have hired hundreds of speakers and Ben, by far, is on the top of my list. He inspires people to not only make their own bucket list, but also to pay it forward along the way.",Peggy Westby,VP of Education & Member Services,Minnesota Hospital Association,Healthcare & Pharma,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"In my 29 years at MHA, I have hired hundreds of speakers and Ben, by far, is on the top of my list. He inspires people to not only make their own bucket list, but also to pay..."
T055,Ben's keynote was exactly the refresher our organization needed during these trying times. Ben's focus on resiliency left the audience captivated and motivated to take on whatever comes next. We highly recommend him as a virtual keynote speaker!,Theo Koury,President,Vituity,Healthcare & Pharma,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's keynote was exactly the refresher our organization needed during these trying times. Ben's focus on resiliency left the audience captivated and motivated to take on...
T056,"Ben's keynote has earned a perfect 5-star rating from every single respondent. That kind of unanimous feedback is incredibly rare and speaks volumes about the impact he made. He made a lasting impact on our members, our families, and our team.",Megan Tetuan,Lead Experience Planner,Triad Partners,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's keynote has earned a perfect 5-star rating from every single respondent. That kind of unanimous feedback is incredibly rare and speaks volumes about the impact he made....
T057,Ben is a fantastic story teller and his inspirational message resonated with our entire audience. Ben's presentation translated extremely well to a virtual format.,Kerry Young,"VP, General Manager",EnterWorks,Technology,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,Ben is a fantastic story teller and his inspirational message resonated with our entire audience. Ben's presentation translated extremely well to a virtual format.
T058,Ben had a tremendously inspirational message that had our group laughing and crying. Ben was great to work with and was very engaging after his talk with everyone.,Conely Nelson,Division GM,Smithfield Foods,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben had a tremendously inspirational message that had our group laughing and crying. Ben was great to work with and was very engaging after his talk with everyone.
T059,"We were so grateful to have Ben speak, and there certainly was a buzz about it all. The exercises he took us through were really powerful tools that drew everyone in the office closer and inspired them to continue to create work that matters.",Nico Van Erum,Managing Director,Sid Lee Creative Agency,Media & Agencies,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"We were so grateful to have Ben speak, and there certainly was a buzz about it all. The exercises he took us through were really powerful tools that drew everyone in the office..."
T060,"Ben encouraged the audience to actively talk about and help banish the stigma surrounding mental illness. His message truly resonated. Ben is sincere, funny, and thought-provoking.",Cathy Armold,VP Member Services,Indiana Hospital Association,Healthcare & Pharma,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben encouraged the audience to actively talk about and help banish the stigma surrounding mental illness. His message truly resonated. Ben is sincere, funny, and thought-provoking."
T061,"I was so motivated and inspired by Ben's story. It has inspired me to address my own bucket list! And to that point, I just became an author!",Melissa DelMonego,,Siemens Healthineers,Healthcare & Pharma,,client,https://www.bennemtin.com/testimonials/,TRUE,"I was so motivated and inspired by Ben's story. It has inspired me to address my own bucket list! And to that point, I just became an author!"
T062,Ben's keynote motivated and inspired our members to dream big and to aspire to be better. His honest and open discussion helped many of our attendees feel more comfortable discussing what can often be seen as a stigmatized topic.,James Irwin,Director of Educational Programs,SAE,Associations & Nonprofits,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's keynote motivated and inspired our members to dream big and to aspire to be better. His honest and open discussion helped many of our attendees feel more comfortable...
T063,Engaging a group of 80+ CEOs in a thoughtful exercise with no distractions is always a challenge. Ben had our group riveted during his entire talk. It set the tone for our entire Learning Year.,Jamey Edwards,Learning Officer,YPO,Executive Networks (YPO etc.),in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Engaging a group of 80+ CEOs in a thoughtful exercise with no distractions is always a challenge. Ben had our group riveted during his entire talk. It set the tone for our...
T064,"Ben nailed it. His powerful message rippled through our audience, and everyone left energized and motivated to make the impossible possible. I've been booking keynotes for 20 years and this was one of the best we've had.",Craig Ricks,Chief Marketing Officer,Paciolan,Technology,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben nailed it. His powerful message rippled through our audience, and everyone left energized and motivated to make the impossible possible. I've been booking keynotes for 20..."
T065,"Ben delivered a message of hope and perseverance aimed at helping others succeed in a unique and compelling way. Our members walked away with a reinvigorated passion to not only pursue their own dreams, but make a personal commitment to help others fulfill theirs.",Paul Gange,President and Chief Executive Officer,Fix Auto USA,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben delivered a message of hope and perseverance aimed at helping others succeed in a unique and compelling way. Our members walked away with a reinvigorated passion to not...
T066,"Ben enabled us to start the process of realizing dreams and aspirations through list writing and accountability. Very powerful message, especially in a virtual environment.",Dan Melesurgo,VP,ASAE,Associations & Nonprofits,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben enabled us to start the process of realizing dreams and aspirations through list writing and accountability. Very powerful message, especially in a virtual environment."
T067,"Ben has a way of capturing the audience like no other speaker I've met. He is both inspiring and genuine on stage, two qualities that combined together make magic.",Jess Lehmussaari,Director,JA Sweden,Education & Youth,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben has a way of capturing the audience like no other speaker I've met. He is both inspiring and genuine on stage, two qualities that combined together make magic."
T068,"Ben took the time to weave our key messages in his narrative, it was much deeper than a simple cut-and-paste, and people noticed. Our leaders were moved and inspired.",Jean-Francois Langlais,Head of Strategic Communications,iA Financial Group,Financial Services,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben took the time to weave our key messages in his narrative, it was much deeper than a simple cut-and-paste, and people noticed. Our leaders were moved and inspired."
T069,"Dynamic! Powerful! Inspirational! Ben hit it out of the park for our virtual Convention, you felt like you were in the room with him!",Donna Bevilacqua,Director of Comms & Community Relations,CCUA,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"Dynamic! Powerful! Inspirational! Ben hit it out of the park for our virtual Convention, you felt like you were in the room with him!"
T070,The chat was exploding with so many people inspired!,Sarah Potts,Senior Speaker Coordinator,Northwestern Mutual,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,The chat was exploding with so many people inspired!
T071,This was the most positive Leadership Development meeting we have ever done.,Mike Baxter,President & CEO,Parkview Medical Center,Healthcare & Pharma,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,This was the most positive Leadership Development meeting we have ever done.
T072,"The virtual response was overwhelmingly positive, people LOVED Ben!",Gene Rapisardi,Market President,Cigna,Healthcare & Pharma,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"The virtual response was overwhelmingly positive, people LOVED Ben!"
T073,This is a great real life story and motivates young and old to set audacious goals and achieve them!,Fred Hameetman,Chairman,American Group,Financial Services,,client,https://www.bennemtin.com/testimonials/,TRUE,This is a great real life story and motivates young and old to set audacious goals and achieve them!
T074,"Ben's virtual keynote opened doors to new client relationships, engagement was through the roof!",Page Long,Director of Strategic Accounts,Equitable,Financial Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's virtual keynote opened doors to new client relationships, engagement was through the roof!"
